Column1,Column2,Column3,Column4,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,채용
KB국민은행,2024 하반기 KB국민은행 신입행원 채용,서울 l 무관 l 신입,~09.23 (월),"사무원,","기술자,",서비스직,,,,,,,,,,,,,no
씨제이푸드빌(주),2024년 하반기 CJ푸드빌 신입사원 모집,서울 l 대졸 l 신입,~10.04 (금),사무원,,,,,,,,,,,,,,,no
하나카드,2024년 하나카드 신입직원 채용,서울 | 대졸 | 신입,~09.19 (목),"기술자,",사무원,,,,,,,,,,,,,,no
현대제철(주),2024 현대제철 하반기 신규채용,경기 | 대졸 | 신입,~09.20 (금),"기술자,","장사,","사무원,",,,,,,,,,,,,,no
DB그룹,2024년 DB그룹 신입사원 공개채용,서울 | 대졸 | 신입,~10.04 (금),"장사,","기술자,","사무원,",사무원,,,,,,,,,,,,no
EUKOR Car Carriers Inc.,2024 하반기 EUKOR Car Carriers 신입사원 채용,서울 | 대졸 | 신입,~09.22 (일),기술자,,,,,,,,,,,,,,,no
한국무역보험공사,2024년  하반기 일반직 신입사원 채용공고,서울 | 무관 | 신입,~09.27 (금),"기술자,","사무원,",서비스직,,,,,,,,,,,,,no
한국수출입은행,한국수출입은행 2024년도 하반기 전문직행원(신입) 채용,서울 | 무관 | 신입,~09.20 (금),,,,,,,,,,,,,,,,no
서울우유협동조합,서울우유 2024년 6급 신입직원 모집,서울 | 고졸 | 신입,~09.23 (월),사무원,,,,,,,,,,,,,,,no
한국무역보험공사,2024년 사무직(고졸) 신입사원 채용공고,서울 | 고졸 | 신입,~09.27 (금),"사무원,",장사,,,,,,,,,,,,,,no
KDB산업은행,한국산업은행 2025년 5급 신입행원 채용 공고,서울 | 무관 | 신입,~09.19 (목),"사무원,","기술자,",서비스직,,,,,,,,,,,,,no
충청남도개발공사,2024년 하반기 충청남도개발공사 사원 모집 공고,충남 | 무관 | 신입,~10.03 (목),기술자,,,,,,,,,,,,,,,no
CJ그룹,2024 CJ그룹 신입사원 모집,서울 | 대졸 | 신입,~10.04 (금),"사무원,",기술자,,,,,,,,,,,,,,no
한국에너지기술연구원,2024년도 제2차 신규직원 채용[행정직(기계설비관리)],대전 | 무관 | 신입,~09.27 (금),,,,,,,,,,,,,,,,no
